ID	DateTime	Action	LicenseCode	ApplicationName	User	Computer	TotalApplicationInstancesPerLicense	LicenseDuration	TotalLicensePerUser	TotalLicenses	InstancesPerApplication	ApplicationInstancesPerLicense	ApplicationDuration	TotalApplications	TotalApplicationsPerUser
148	 2019-10-01 10:35:01.000	IN	AEC COLLECTION	86706RVT_2017_0F	User24	Computer	1	 16:01:44	1	13	1	1	 00:55:16	8	1
149	 2019-10-01 10:35:05.001	OUT	AEC COLLECTION	87149RVT_2019_0F	User24	Computer	2	 16:01:48	1	13	1	1	 16:01:48	4	2
150	 2019-10-01 10:35:10.000	IN	AEC COLLECTION	86706RVT_2017_0F	User24	Computer	1	 16:01:53	1	13	0	0	 00:55:25	7	1
151	 2019-10-01 10:40:31.001	OUT	AEC COLLECTION	87149RVT_2019_0F	User15	Computer	1	 00:00:00	1	14	1	1	 00:00:00	5	1
152	 2019-10-01 10:45:48.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User8	Computer	1	 16:11:44	1	15	1	1	 16:11:44	8	1
153	 2019-10-01 11:06:40.000	IN	AEC COLLECTION	86917RVT_2018_0F	User17	Computer	1	 22:43:36	1	15	1	1	 22:43:36	1	1
154	 2019-10-01 11:32:52.000	IN	AEC COLLECTION	86917RVT_2018_0F	User17	Computer	0	 23:09:48	0	14	0	0	 23:09:48	0	0
155	 2019-10-01 11:33:07.001	OUT	AEC COLLECTION	86917RVT_2018_0F	User17	Computer	1	 00:00:15	1	15	1	1	 00:00:15	1	1
156	 2019-10-01 11:36:37.000	IN	AEC COLLECTION	86706RVT_2017_0F	User5	Computer	0	 16:57:33	0	14	0	0	 16:57:33	7	0
157	 2019-10-01 11:44:34.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User5	Computer	1	 00:07:57	1	15	1	1	 00:07:57	8	1
158	 2019-10-01 11:46:26.000	IN	AEC COLLECTION	86917RVT_2018_0F	User17	Computer	0	 00:13:34	0	14	0	0	 00:13:34	0	0
159	 2019-10-01 11:46:36.001	OUT	AEC COLLECTION	86917RVT_2018_0F	User17	Computer	1	 00:00:10	1	15	1	1	 00:00:10	1	1
160	 2019-10-01 11:56:52.000	IN	AEC COLLECTION	87149RVT_2019_0F	User24	Computer	0	 17:23:35	0	14	0	0	 17:23:35	4	0
161	 2019-10-01 12:33:14.001	OUT	AEC COLLECTION	87149RVT_2019_0F	User26	Computer	2	 17:57:14	1	14	2	2	 17:57:14	4	1
162	 2019-10-01 14:04:00.000	IN	AEC COLLECTION	87149RVT_2019_0F	User28	Computer	0	 27:28:39	0	13	0	0	 27:28:39	3	0
163	 2019-10-01 14:36:56.001	OUT	AEC COLLECTION	87149RVT_2019_0F	User28	Computer	1	 00:32:56	1	14	1	1	 00:32:56	4	1
164	 2019-10-01 14:53:09.000	OUT	AEC COLLECTION	86998NAVMAN_2018_0F	User17	Computer	2	 03:06:43	1	14	1	1	 00:00:00	1	2
165	 2019-10-01 14:55:07.000	IN	AEC COLLECTION	86998NAVMAN_2018_0F	User17	Computer	1	 03:08:41	1	14	0	0	 00:01:58	0	1
166	 2019-10-01 14:55:33.001	OUT	AEC COLLECTION	87084ACD_2019_0F	User1	Computer	1	 22:57:59	1	15	1	1	 22:57:59	2	1
167	 2019-10-01 14:55:47.000	IN	AEC COLLECTION	87084ACD_2019_0F	User1	Computer	0	 22:58:13	0	14	0	0	 22:58:13	1	0
